,Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
43,"weaving, jacquard service, Fabric, Weaved by jacquard loom production mix, at plant service, Fabric, Weaved by jacquard loom",market for building machine,4.25e-07,unit,0.013473955292174806,0.14330288164478644,9.402431505580967
44,"weaving, jacquard service, Fabric, Weaved by jacquard loom production mix, at plant service, Fabric, Weaved by jacquard loom",market for waste steel,-0.00191383,kilogram,3.512932618191232e-05,0.0003736195914967393,9.402431505580967
73,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom","market group for electricity, medium voltage",11.1186338,kilowatt hour,7.621361557883898,88.71830792273302,8.590517263383258
74,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom","Fabric sizing, natural fibers",1.07526882,kilogram,0.8153546221145799,9.491333258708377,8.590517263383258
76,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom",market for waste mineral oil,-0.02577097,kilogram,0.0734987573070431,0.8555801129732741,8.590517263383258
75,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom",market for lubricating oil,0.02577097,kilogram,0.04434982333541565,0.5162648764406194,8.590517263383258
79,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom","market for building, hall",5.83e-05,square meter,0.02272918068209211,0.2645845411308857,8.590517263383258
77,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom",market for building machine,4.16e-07,unit,0.013188624472776885,0.15352538233050153,8.590517263383258
78,"weaving, rapier service, Fabric, Weaved by rapier loom production mix, at plant service, Fabric, Weaved by rapier loom",market for waste steel,-0.00187267,kilogram,3.437381340930116e-05,0.00040013671302213883,8.590517263383258
66,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom","market group for electricity, medium voltage",8.46026956,kilowatt hour,5.799163310383857,84.98945913829272,6.823391240727399
67,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom","Fabric sizing, natural fibers",1.13636364,kilogram,0.861681590223095,12.628347984502152,6.823391240727399
69,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom",market for waste mineral oil,-0.02723523,kilogram,0.07767482398395228,1.1383609885994441,6.823391240727399
68,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom",market for lubricating oil,0.02723523,kilogram,0.046869700225654606,0.6868974469161192,6.823391240727399
72,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom","market for building, hall",6.16e-05,square meter,0.024015738077868127,0.3519619091240613,6.823391240727399
70,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom",market for building machine,4.4e-07,unit,0.013949506654237734,0.20443656478286104,6.823391240727399
71,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom",market for waste steel,-0.00197907,kilogram,3.6326839672151495e-05,0.0005323868790539837,6.823391240727399
13,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk","market group for electricity, medium voltage",15.5299145,kilowatt hour,10.645111216155229,98.15570157448624,10.845127736239652
15,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk",market for waste mineral oil,-0.03351648,kilogram,0.09558893706514421,0.8813998266311607,10.845127736239652
14,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk",market for lubricating oil,0.03351648,kilogram,0.057679240072107625,0.5318447276500852,10.845127736239652
18,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk","market for building, hall",7.58e-05,square meter,0.02955183354335907,0.2724894926281949,10.845127736239652
16,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk",market for building machine,5.41e-07,unit,0.01715155249823571,0.1581498430942658,10.845127736239652
17,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk",market for waste steel,-0.00243551,kilogram,4.4705028766586565e-05,0.00041221302186420547,10.845127736239652
