Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.3160206191136077,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.09710988930734092,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.06006680733055362,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.0034062802480152106,0.7005343540250153
"Spinning to filament, Elastane (Spandex/Lycra), Melt Spinning (POY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.020095126420684253,0.7005343540250153
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning","market group for electricity, medium voltage",1.32,kilowatt hour,0.9048051598324681,90.11763931468649,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning","building construction, hall",8.96e-05,square meter,0.034953510718021906,3.481332790201993,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.8405600393335377,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",lubricating oil production,0.01,kilogram,0.016999579621524374,1.6931401950862914,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",market for building machine,4.64e-07,unit,0.014710388877678216,1.465139212184465,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.22049543138835556,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",market group for tap water,2.0,kilogram,0.0016831544828661772,0.16764041070004168,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.06775598059062088,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.0023766462923286136,1.0040266996707845
"Spinning to filament, Extruder Polymer Filaments, Dry Spinning","market for wastewater, average",0.002,cubic meter,-0.0005630930562466024,-0.05608347431709116,1.0040266996707845
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning","market group for electricity, medium voltage",1.33,kilowatt hour,0.9116597443480787,84.14888332263101,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",market group for tap water,150.0,kilogram,0.12623658635038515,11.652009252028549,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.632478385176707,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning","building construction, hall",6.3e-05,square meter,0.02457668722258212,2.268500719014135,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",lubricating oil production,0.01,kilogram,0.016999579621524374,1.5691113389331097,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",market for building machine,4.64e-07,unit,0.014710388877678216,1.3578122813610245,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.2043433157977702,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.06279260142415817,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002202548056415435,1.0833889985832965
"Spinning to filament, MMCF (Rayon, Viscose, Lyocell), Wet Spinning","market for wastewater, average",0.15,cubic meter,-0.042231979074810334,-3.8981362308492487,1.0833889985832965
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",0.8,kilowatt hour,0.5483667635444816,61.931699685606546,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",6.2,megajoule,0.2638125496464162,29.794583997742063,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,3.221002856254752,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,1.9199064018700398,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,1.6613687167000482,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,1.110261316687575,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.25002689767460445,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.07683069676004316,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.04752322026392052,0.8854379361913858
